"","production_countries.name","budget_mean","maturecontent_sum","notmature_sum","income_level","RELIGION_IMPORT","HOMOSEXUALITY","GENDER_EQUALITY"
"561","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"562","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"563","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"564","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"565","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"566","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"567","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"568","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"569","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"570","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"571","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"572","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"573","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"574","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"575","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"576","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"577","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"578","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"579","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"580","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"581","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"582","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"583","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"584","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"585","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"586","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"587","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"588","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"589","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"590","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"591","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"592","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"593","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"594","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"595","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"596","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"597","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"598","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"599","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"600","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"601","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"602","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"603","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"604","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"605","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"606","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"607","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"608","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"609","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"610","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"611","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"612","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"613","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"614","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"615","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"616","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"617","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
"618","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"619","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"620","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"621","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"622","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"623","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"624","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"625","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"626","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"627","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"628","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"629","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"630","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"631","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"632","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"633","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"634","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"635","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"636","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"637","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"638","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"639","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"640","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"641","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"642","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"643","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"644","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"645","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"646","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
"647","Argentina",135584.590643275,70,443,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"648","Australia",1139590.29596413,140,529,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"649","Brazil",368178.274867122,89,1228,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"650","Bulgaria",1940223.24691358,9,72,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"651","Canada",1576406.07352234,565,1516,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"652","Czech Republic",442268.618243243,24,272,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"653","France",595447.064901156,213,2468,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"654","Germany",187527.304303626,329,2622,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"655","Greece",106367.875647668,13,180,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"656","Hungary",735550.237179487,17,139,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"657","India",741780.788833859,691,1530,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"658","Indonesia",102773.857855362,98,303,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"659","Israel",63675.1828571429,10,165,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"660","Italy",201833.538461538,101,692,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"661","Japan",299509.9872579,438,1524,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"662","Kenya",0.764705882352941,1,16,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"663","Lebanon",0,1,48,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"664","Lithuania",23594.1176470588,6,45,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"665","Mexico",358732.433198381,63,431,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"666","Netherlands",69708.4337152209,37,574,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"667","Nigeria",21600.04,6,44,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"668","Philippines",11036.5712250712,110,592,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"669","Poland",166440.397212544,34,253,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"670","Russia",834350.628899836,74,535,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"671","Slovakia",183506.340425532,5,42,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"672","South Africa",936963.884615385,29,153,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"673","South Korea",377732.70977918,181,770,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"674","Spain",519514.463392857,150,970,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"675","Sweden",200435.246987952,90,408,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"676","Tunisia",714.285714285714,1,13,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"677","Turkey",239944.548295455,68,284,"Upper middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"678","Ukraine",289352.47,15,85,"Lower middle income","Not at all important","Homosexuality should be accepted by society","Very important"
"679","United Kingdom",1496293.43582704,533,2381,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"680","United States of America",2223976.84860624,3254,8728,"High income","Not at all important","Homosexuality should be accepted by society","Very important"
"681","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"682","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"683","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"684","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"685","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"686","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"687","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"688","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"689","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"690","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"691","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"692","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"693","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"694","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"695","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"696","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"697","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"698","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"699","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"700","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"701","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"702","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"703","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"704","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"705","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"706","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"707","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"708","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"709","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"710","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"711","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should not be accepted by society","Very important"
"712","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should not be accepted by society","Very important"
"713","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"714","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should not be accepted by society","Very important"
"715","Argentina",135584.590643275,70,443,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"716","Australia",1139590.29596413,140,529,"High income","Very important","Homosexuality should be accepted by society","Very important"
"717","Brazil",368178.274867122,89,1228,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"718","Bulgaria",1940223.24691358,9,72,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"719","Canada",1576406.07352234,565,1516,"High income","Very important","Homosexuality should be accepted by society","Very important"
"720","Czech Republic",442268.618243243,24,272,"High income","Very important","Homosexuality should be accepted by society","Very important"
"721","France",595447.064901156,213,2468,"High income","Very important","Homosexuality should be accepted by society","Very important"
"722","Germany",187527.304303626,329,2622,"High income","Very important","Homosexuality should be accepted by society","Very important"
"723","Greece",106367.875647668,13,180,"High income","Very important","Homosexuality should be accepted by society","Very important"
"724","Hungary",735550.237179487,17,139,"High income","Very important","Homosexuality should be accepted by society","Very important"
"725","India",741780.788833859,691,1530,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"726","Indonesia",102773.857855362,98,303,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"727","Israel",63675.1828571429,10,165,"High income","Very important","Homosexuality should be accepted by society","Very important"
"728","Italy",201833.538461538,101,692,"High income","Very important","Homosexuality should be accepted by society","Very important"
"729","Japan",299509.9872579,438,1524,"High income","Very important","Homosexuality should be accepted by society","Very important"
"730","Kenya",0.764705882352941,1,16,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"731","Lebanon",0,1,48,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"732","Lithuania",23594.1176470588,6,45,"High income","Very important","Homosexuality should be accepted by society","Very important"
"733","Mexico",358732.433198381,63,431,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"734","Netherlands",69708.4337152209,37,574,"High income","Very important","Homosexuality should be accepted by society","Very important"
"735","Nigeria",21600.04,6,44,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"736","Philippines",11036.5712250712,110,592,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"737","Poland",166440.397212544,34,253,"High income","Very important","Homosexuality should be accepted by society","Very important"
"738","Russia",834350.628899836,74,535,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"739","Slovakia",183506.340425532,5,42,"High income","Very important","Homosexuality should be accepted by society","Very important"
"740","South Africa",936963.884615385,29,153,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"741","South Korea",377732.70977918,181,770,"High income","Very important","Homosexuality should be accepted by society","Very important"
"742","Spain",519514.463392857,150,970,"High income","Very important","Homosexuality should be accepted by society","Very important"
"743","Sweden",200435.246987952,90,408,"High income","Very important","Homosexuality should be accepted by society","Very important"
"744","Tunisia",714.285714285714,1,13,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"745","Turkey",239944.548295455,68,284,"Upper middle income","Very important","Homosexuality should be accepted by society","Very important"
"746","Ukraine",289352.47,15,85,"Lower middle income","Very important","Homosexuality should be accepted by society","Very important"
"747","United Kingdom",1496293.43582704,533,2381,"High income","Very important","Homosexuality should be accepted by society","Very important"
"748","United States of America",2223976.84860624,3254,8728,"High income","Very important","Homosexuality should be accepted by society","Very important"
"749","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"750","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"751","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"752","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"753","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"754","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"755","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"756","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"757","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"758","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"759","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"760","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"761","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"762","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"763","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"764","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"765","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"766","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"767","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"768","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"769","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"770","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"771","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"772","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"773","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"774","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"775","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"776","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"777","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"778","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"779","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"780","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should be accepted by society","Very important"
"781","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"782","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should be accepted by society","Very important"
"783","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"784","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"785","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"786","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"787","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"788","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"789","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"790","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"791","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"792","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"793","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"794","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"795","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"796","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"797","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"798","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"799","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"800","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"801","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"802","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"803","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"804","Philippines",11036.5712250712,110,592,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"805","Poland",166440.397212544,34,253,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"806","Russia",834350.628899836,74,535,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"807","Slovakia",183506.340425532,5,42,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"808","South Africa",936963.884615385,29,153,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"809","South Korea",377732.70977918,181,770,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"810","Spain",519514.463392857,150,970,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"811","Sweden",200435.246987952,90,408,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"812","Tunisia",714.285714285714,1,13,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"813","Turkey",239944.548295455,68,284,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"814","Ukraine",289352.47,15,85,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"815","United Kingdom",1496293.43582704,533,2381,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"816","United States of America",2223976.84860624,3254,8728,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"817","Argentina",135584.590643275,70,443,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"818","Australia",1139590.29596413,140,529,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"819","Brazil",368178.274867122,89,1228,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"820","Bulgaria",1940223.24691358,9,72,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"821","Canada",1576406.07352234,565,1516,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"822","Czech Republic",442268.618243243,24,272,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"823","France",595447.064901156,213,2468,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"824","Germany",187527.304303626,329,2622,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"825","Greece",106367.875647668,13,180,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"826","Hungary",735550.237179487,17,139,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"827","India",741780.788833859,691,1530,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"828","Indonesia",102773.857855362,98,303,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"829","Israel",63675.1828571429,10,165,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"830","Italy",201833.538461538,101,692,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"831","Japan",299509.9872579,438,1524,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"832","Kenya",0.764705882352941,1,16,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"833","Lebanon",0,1,48,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"834","Lithuania",23594.1176470588,6,45,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"835","Mexico",358732.433198381,63,431,"Upper middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"836","Netherlands",69708.4337152209,37,574,"High income","Somewhat important","Homosexuality should not be accepted by society","Very important"
"837","Nigeria",21600.04,6,44,"Lower middle income","Somewhat important","Homosexuality should not be accepted by society","Very important"
